cats love	6248.29931640625
cats love ambushing	2486.65234375
cats love bags	18649.7421875
cats love baskets	22016.994140625
cats love bathrooms	25031.458984375
cats love bathrooms so much	494.5720520019531
cats love beanie babies	190.7306365966797
cats love beards	453.693603515625
cats love being in, on, and around muffle bags	115.235107421875
cats love being pet so much	431.6991882324219
cats love being petted so much	83.73704528808594
cats love birds	4570.17236328125
cats love bite	13034.8505859375
cats love bite humans	16901.810546875
cats love bites	17684.927734375
cats love bite when you pet them	395.8535461425781
cats love bite you	6545.25244140625
cats love blankets	13585.8837890625
cats love bleach	31676.212890625
cats love bleach smell	27743.734375
cats love bobbles	3547.802490234375
cats love bookshops answers	2277.746337890625
cats love bookshops close reading	2141.364501953125
cats love bookshops sea	2983.57177734375
cats love bookshops sea answers	6069.4912109375
cats love bookstore	148351.671875
cats love bookstores	1060.841064453125
cats love bottle caps	1770.084716796875
cats love bowls	24101.8984375
cats love boxes	14969.9052734375
cats love boxes and bags	874.539794921875
cats love boxes and tight spaces	700.8843994140625
cats love boxes / containers	3636.837158203125
cats love boxes / enclosed spaces	2658.64892578125
cats love boxes reedit	24392.75
cats love boxes so much	418.3467712402344
cats love boxes so much, anyway	345.9515380859375
cats love box shaped objects	3872.523193359375
cats love cabinets	85175.7734375
cats love cardboard	16357.3037109375
cats love cardboard boxes	996.7875366210938
cats love cardboard boxes so much	158.18624877929688
cats love cardboard so much	515.850341796875
cats love cat grass	5819.91943359375
cats love “ cat grass “ so much	754.8994750976562
cats love catnip	84.97393798828125
cats love catnip plant	207.77194213867188
cats love catnip so much	41.99966049194336
cats love cat treats	1472.170654296875
cats love cat treats so much	229.47003173828125
